sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.6,80.1,81.7,77.8,0.8,28.6,6.6,31.3,8.1
1,77.0,79.2,64.1,92.6,0.8,25.0,14.0,36.0,2.0
2,69.0,82.6,88.4,84.4,0.9,38.0,5.0,19.0,7.0
3,76.0,80.3,88.2,53.6,0.7,15.0,2.0,46.0,13.0
4,82.0,79.3,82.5,76.7,0.8,33.0,7.0,32.0,10.0
5,69.0,92.8,94.1,91.4,0.9,32.0,2.0,32.0,3.0
6,85.0,81.2,92.1,72.9,0.8,35.0,3.0,34.0,13.0
7,100.0,85.0,92.7,76.0,0.8,38.0,3.0,47.0,12.0
8,74.0,81.1,74.0,97.4,0.8,37.0,13.0,23.0,1.0
9,57.0,70.2,65.7,82.1,0.7,23.0,12.0,17.0,5.0
10,61.0,70.5,70.4,65.5,0.7,19.0,8.0,24.0,10.0
11,69.0,81.2,79.2,70.4,0.7,19.0,5.0,37.0,8.0
12,80.0,76.2,77.3,79.1,0.8,34.0,10.0,27.0,9.0
13,65.0,86.2,92.9,78.8,0.9,26.0,2.0,30.0,7.0
14,84.0,81.0,74.4,82.9,0.8,29.0,10.0,39.0,6.0
15,71.0,74.6,89.7,63.4,0.7,26.0,3.0,27.0,15.0
